model,eval_type,prompt,response,success,latency_ms,tokens,score,hallucinated
Google Gemini 3.1 Flash-Lite,hallucination,Who wrote 'Romeo and Juliet'?,William Shakespeare wrote *Romeo and Juliet*.,True,2105.113983154297,11,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the chemical symbol for Gold?,The chemical symbol for gold is **Au**.,True,9508.8529586792,9,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,In what year did the Apollo 11 moon landing occur?,The Apollo 11 moon landing occurred in 1969.,True,1092.9789543151855,11,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,Who is the CEO of Tesla as of 2024?,The CEO of Tesla as of 2024 is Elon Musk.,True,5221.801996231079,10,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,True,1420.9411144256592,12,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the powerhouse of the cell?,The powerhouse of the cell is the **mitochondrion**.,True,1198.8296508789062,13,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,Who painted the Mona Lisa?,Leonardo da Vinci painted the *Mona Lisa*.,True,8808.445930480957,10,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the smallest country in the world?,The smallest country in the world is **Vatican City**. It covers an area of only about 0.44 square kilometers (approximately 109 acres).,True,2391.490936279297,34,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,How many continents are there on Earth?,"The number of continents is typically considered to be **seven**: Africa, Antarctica, Asia, Europe, North America, Australia (or Oceania), and South America.

However, depending on the geographical or cultural model used, this number can vary:
* **Six continents:** Some models combine Europe and Asia into Eurasia, or North and South America into America.
* **Five continents:** This model is often used in the Olympic symbol, counting only the inhabited continents (Africa, America, Asia, Europe, and Oceania).",True,12424.55506324768,128,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,Who developed the theory of relativity?,The theory of relativity was developed by **Albert Einstein**. He published the theory of special relativity in 1905 and the theory of general relativity in 1915.,True,1650.0270366668701,40,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the main ingredient in guacamole?,The main ingredient in guacamole is **avocado**.,True,2735.8810901641846,12,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,What is the boiling point of water in Celsius?,The boiling point of water is 100 degrees Celsius at sea level (standard atmospheric pressure).,True,2740.560293197632,23,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,Which element has the atomic number 1?,The element with the atomic number 1 is hydrogen (H).,True,2068.8540935516357,13,1.0,False
Google Gemini 3.1 Flash-Lite,hallucination,Who was the first President of the United States?,The first President of the United States was George Washington.,True,10090.460777282715,15,1.0,False
